Product_ID,Product_Name,Category,Date,Quantity,Sales_Amount,Unit_Price,Cost_Price,Profit
P001,Laptop Pro 15,Electronics,2026-09-05,10.0,85000.0,8500.0,6500.0,20000.0
P002,Wireless Mouse,Electronics,2026-09-05,25.0,12500.0,500.0,300.0,5000.0
P003,Cotton Shirt,Clothing,2026-09-06,30.0,18000.0,600.0,350.0,7500.0
P004,Office Chair,Furniture,2026-09-06,8.0,32000.0,4000.0,2700.0,10400.0
P005,Air Fryer,Home Appliances,2026-09-07,12.0,36000.0,3000.0,2100.0,10800.0
P006,Running Shoes,Sports,2026-09-07,20.0,30000.0,1500.0,900.0,12000.0
P007,Face Cream,Beauty,2026-09-08,35.0,17500.0,500.0,280.0,7700.0
P008,Notebook,Books,2026-09-08,50.0,10000.0,200.0,110.0,4500.0
P009,Phone Charger,Mobile Accessories,2026-09-09,40.0,16000.0,400.0,220.0,7200.0
P010,Rice 5kg,Groceries,2026-09-09,18.0,21600.0,1200.0,900.0,5400.0
P011,Laptop Pro 16,Electronics,2026-09-05,37.0,6673.33333333336,-639.999999999997,-584.666666666662,4453.33333333333
P012,Wireless Mouse,Electronics,2026-09-05,39.2181818181818,2821.21212121216,-1127.27272727273,-952.060606060602,3617.57575757576
P013,Cotton Shirt,Clothing,2026-09-06,41.4363636363636,-1030.90909090904,-1614.54545454546,-1319.45454545454,2781.81818181819
P014,Office Chair,Furniture,2026-09-06,43.6545454545454,-4883.03030303035,-2101.81818181818,-1686.84848484848,1946.06060606059
P015,Air Fryer,Home Appliances,2026-09-07,45.8727272727273,-8735.15151515154,-2589.09090909091,-2054.24242424242,1110.30303030299
P016,Running Shoes,Sports,2026-09-07,48.0909090909091,-12587.2727272727,-3076.36363636364,-2421.63636363636,274.545454545489
P017,Face Cream,Beauty,2026-09-08,50.3090909090909,-16439.3939393939,-3563.63636363637,-2789.0303030303,-561.212121212111
P018,Notebook,Books,2026-09-08,52.5272727272727,-20291.5151515151,-4050.90909090909,-3156.42424242424,-1396.96969696971
P019,Phone Charger,Mobile Accessories,2026-09-09,54.7454545454545,-24143.6363636363,-4538.18181818182,-3523.81818181818,-2232.72727272731
P020,Rice 5kg,Groceries,2026-09-09,56.9636363636363,-27995.7575757575,-5025.45454545455,-3891.21212121212,-3068.48484848481
P021,Laptop Pro 17,Electronics,2026-09-05,59.1818181818182,-31847.8787878787,-5512.72727272727,-4258.60606060606,-3904.24242424241
P022,Wireless Mouse,Electronics,2026-09-05,61.4,-35699.9999999999,-6000.00000000003,-4626.0,-4740.00000000001
P023,Cotton Shirt,Clothing,2026-09-06,63.6181818181818,-39552.1212121212,-6487.27272727273,-4993.39393939394,-5575.75757575761
P024,Office Chair,Furniture,2026-09-06,65.8363636363636,-43404.2424242424,-6974.54545454543,-5360.78787878788,-6411.51515151511
P025,Air Fryer,Home Appliances,2026-09-07,68.0545454545454,-47256.3636363636,-7461.81818181823,-5728.18181818182,-7247.27272727271
P026,Running Shoes,Sports,2026-09-07,70.2727272727273,-51108.4848484848,-7949.09090909093,-6095.57575757576,-8083.03030303031
P027,Face Cream,Beauty,2026-09-08,72.4909090909091,-54960.6060606065,-8436.36363636363,-6462.9696969697,-8918.78787878791
P028,Notebook,Books,2026-09-08,74.7090909090909,-58812.7272727275,-8923.63636363633,-6830.36363636363,-9754.54545454541
P029,Phone Charger,Mobile Accessories,2026-09-09,76.9272727272727,-62664.8484848485,-9410.90909090913,-7197.75757575757,-10590.303030303
P030,Rice 5kg,Groceries,2026-09-09,79.1454545454545,-66516.9696969696,-9898.18181818183,-7565.15151515147,-11426.0606060606
P031,Laptop Pro 18,Electronics,2026-09-05,81.3636363636363,-70369.0909090905,-10385.4545454545,-7932.54545454547,-12261.8181818182
P032,Wireless Mouse,Electronics,2026-09-05,83.5818181818182,-74221.2121212125,-10872.7272727272,-8299.93939393937,-13097.5757575757
P033,Cotton Shirt,Clothing,2026-09-06,85.8,-78073.3333333335,-11360.0,-8667.33333333337,-13933.3333333333
P034,Office Chair,Furniture,2026-09-06,88.0181818181818,-81925.4545454545,-11847.2727272727,-9034.72727272727,-14769.0909090909
P035,Air Fryer,Home Appliances,2026-09-07,90.2363636363636,-85777.5757575755,-12334.5454545454,-9402.12121212117,-15604.8484848485
P036,Running Shoes,Sports,2026-09-07,92.4545454545454,-89629.6969696965,-12821.8181818182,-9769.51515151517,-16440.606060606
P037,Face Cream,Beauty,2026-09-08,94.6727272727273,-93481.8181818185,-13309.0909090909,-10136.9090909091,-17276.3636363636
P038,Notebook,Books,2026-09-08,96.8909090909091,-97333.9393939396,-13796.3636363636,-10504.3030303031,-18112.1212121212
P039,Phone Charger,Mobile Accessories,2026-09-09,99.1090909090909,-101186.060606061,-14283.6363636363,-10871.696969697,-18947.8787878788
P040,Rice 5kg,Groceries,2026-09-09,101.327272727273,-105038.181818182,-14770.9090909091,-11239.0909090909,-19783.6363636363
P041,Laptop Pro 19,Electronics,2026-09-05,103.545454545455,-108890.303030303,-15258.1818181818,-11606.4848484849,-20619.3939393939
P042,Wireless Mouse,Electronics,2026-09-05,105.763636363636,-112742.424242425,-15745.4545454545,-11973.8787878788,-21455.1515151515
P043,Cotton Shirt,Clothing,2026-09-06,107.981818181818,-116594.545454546,-16232.7272727272,-12341.2727272728,-22290.9090909091
P044,Office Chair,Furniture,2026-09-06,110.2,-120446.666666667,-16720.0,-12708.6666666667,-23126.6666666666
P045,Air Fryer,Home Appliances,2026-09-07,112.418181818182,-124298.787878788,-17207.2727272727,-13076.0606060606,-23962.4242424242
P046,Running Shoes,Sports,2026-09-07,114.636363636364,-128150.90909091,-17694.5454545454,-13443.4545454546,-24798.1818181818
P047,Face Cream,Beauty,2026-09-08,116.854545454546,-132003.030303031,-18181.8181818182,-13810.8484848485,-25633.9393939394
P048,Notebook,Books,2026-09-08,119.072727272727,-135855.151515152,-18669.0909090909,-14178.2424242425,-26469.6969696969
P049,Phone Charger,Mobile Accessories,2026-09-09,121.290909090909,-139707.272727273,-19156.3636363636,-14545.6363636364,-27305.4545454545
P050,Rice 5kg,Groceries,2026-09-09,123.509090909091,-143559.393939394,-19643.6363636363,-14913.0303030303,-28141.2121212121
P051,Laptop Pro 20,Electronics,2026-09-05,125.727272727273,-147411.515151516,-20130.9090909091,-15280.4242424243,-28976.9696969697
P052,Wireless Mouse,Electronics,2026-09-05,127.945454545455,-151263.636363637,-20618.1818181818,-15647.8181818182,-29812.7272727273
P053,Cotton Shirt,Clothing,2026-09-06,130.163636363637,-155115.757575758,-21105.4545454545,-16015.2121212122,-30648.4848484848
P054,Office Chair,Furniture,2026-09-06,132.381818181818,-158967.878787879,-21592.7272727272,-16382.6060606061,-31484.2424242424
P055,Air Fryer,Home Appliances,2026-09-07,134.6,-162820.0,-22080.0,-16750.0,-32320.0
P056,Running Shoes,Sports,2026-09-07,136.818181818182,-166672.121212122,-22567.2727272727,-17117.393939394,-33155.7575757576
P057,Face Cream,Beauty,2026-09-08,139.036363636364,-170524.242424243,-23054.5454545454,-17484.7878787879,-33991.5151515151
